"","participant","controllerName","trialNumber","V5","condition","item","region","word","rt","sentence","match","position","logrt"
"22605","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",57,0,"HARPSICHORD-OBJ-Match","10",1,"While",421,"While he struggled through the script%2C members of the cast complained to Gabriel gruffly that the screenwriter was a total hack.","M","o",6.04263283368238
"22619","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",57,0,"HARPSICHORD-OBJ-Match","10",2,"he",301,"While he struggled through the script%2C members of the cast complained to Gabriel gruffly that the screenwriter was a total hack.","M","o",5.70711026474888
"22620","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",57,0,"HARPSICHORD-OBJ-Match","10",3,"struggled through",526,"While he struggled through the script%2C members of the cast complained to Gabriel gruffly that the screenwriter was a total hack.","M","o",6.26530121273771
"22621","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",57,0,"HARPSICHORD-OBJ-Match","10",4,"the script%2C",346,"While he struggled through the script%2C members of the cast complained to Gabriel gruffly that the screenwriter was a total hack.","M","o",5.84643877505772
"22622","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",57,0,"HARPSICHORD-OBJ-Match","10",5,"members of",566,"While he struggled through the script%2C members of the cast complained to Gabriel gruffly that the screenwriter was a total hack.","M","o",6.33859407820318
"22623","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",57,0,"HARPSICHORD-OBJ-Match","10",6,"the cast",336,"While he struggled through the script%2C members of the cast complained to Gabriel gruffly that the screenwriter was a total hack.","M","o",5.8171111599632
"22624","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",57,0,"HARPSICHORD-OBJ-Match","10",7,"complained to",817,"While he struggled through the script%2C members of the cast complained to Gabriel gruffly that the screenwriter was a total hack.","M","o",6.70563909486
"22625","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",57,0,"HARPSICHORD-OBJ-Match","10",8,"Gabriel",536,"While he struggled through the script%2C members of the cast complained to Gabriel gruffly that the screenwriter was a total hack.","M","o",6.2841341610708
"22626","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",57,0,"HARPSICHORD-OBJ-Match","10",9,"gruffly",717,"While he struggled through the script%2C members of the cast complained to Gabriel gruffly that the screenwriter was a total hack.","M","o",6.57507584059962
"22627","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",57,0,"HARPSICHORD-OBJ-Match","10",10,"that",406,"While he struggled through the script%2C members of the cast complained to Gabriel gruffly that the screenwriter was a total hack.","M","o",6.00635315960173
"22628","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",57,0,"HARPSICHORD-OBJ-Match","10",11,"the screenwriter",436,"While he struggled through the script%2C members of the cast complained to Gabriel gruffly that the screenwriter was a total hack.","M","o",6.07764224334903
"22629","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",57,0,"HARPSICHORD-OBJ-Match","10",12,"was",326,"While he struggled through the script%2C members of the cast complained to Gabriel gruffly that the screenwriter was a total hack.","M","o",5.78689738136671
"22630","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",57,0,"HARPSICHORD-OBJ-Match","10",13,"a total",1102,"While he struggled through the script%2C members of the cast complained to Gabriel gruffly that the screenwriter was a total hack.","M","o",7.00488198971286
"22631","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",57,0,"HARPSICHORD-OBJ-Match","10",14,"hack.",461,"While he struggled through the script%2C members of the cast complained to Gabriel gruffly that the screenwriter was a total hack.","M","o",6.13339804299665
"22993","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",121,0,"HARPSICHORD-OBJ-Match","26",1,"While",255,"While he weighed the jewelry%2C a few customers asked Victor curiously whether Jennifer had ever worn it.","M","o",5.54126354515843
"23007","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",121,0,"HARPSICHORD-OBJ-Match","26",2,"he",182,"While he weighed the jewelry%2C a few customers asked Victor curiously whether Jennifer had ever worn it.","M","o",5.2040066870768
"23008","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",121,0,"HARPSICHORD-OBJ-Match","26",3,"weighed",310,"While he weighed the jewelry%2C a few customers asked Victor curiously whether Jennifer had ever worn it.","M","o",5.73657229747919
"23009","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",121,0,"HARPSICHORD-OBJ-Match","26",4,"the jewelry%2C",937,"While he weighed the jewelry%2C a few customers asked Victor curiously whether Jennifer had ever worn it.","M","o",6.84268328223842
"23010","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",121,0,"HARPSICHORD-OBJ-Match","26",5,"a few",316,"While he weighed the jewelry%2C a few customers asked Victor curiously whether Jennifer had ever worn it.","M","o",5.75574221358691
"23011","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",121,0,"HARPSICHORD-OBJ-Match","26",6,"customers",336,"While he weighed the jewelry%2C a few customers asked Victor curiously whether Jennifer had ever worn it.","M","o",5.8171111599632
"23012","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",121,0,"HARPSICHORD-OBJ-Match","26",7,"asked",306,"While he weighed the jewelry%2C a few customers asked Victor curiously whether Jennifer had ever worn it.","M","o",5.72358510195238
"23013","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",121,0,"HARPSICHORD-OBJ-Match","26",8,"Victor",436,"While he weighed the jewelry%2C a few customers asked Victor curiously whether Jennifer had ever worn it.","M","o",6.07764224334903
"23014","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",121,0,"HARPSICHORD-OBJ-Match","26",9,"curiously",481,"While he weighed the jewelry%2C a few customers asked Victor curiously whether Jennifer had ever worn it.","M","o",6.17586727010576
"23015","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",121,0,"HARPSICHORD-OBJ-Match","26",10,"whether",2045,"While he weighed the jewelry%2C a few customers asked Victor curiously whether Jennifer had ever worn it.","M","o",7.6231530684769
"23016","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",121,0,"HARPSICHORD-OBJ-Match","26",11,"Jennifer",471,"While he weighed the jewelry%2C a few customers asked Victor curiously whether Jennifer had ever worn it.","M","o",6.15485809401642
"23017","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",121,0,"HARPSICHORD-OBJ-Match","26",12,"had ever",342,"While he weighed the jewelry%2C a few customers asked Victor curiously whether Jennifer had ever worn it.","M","o",5.8348107370626
"23018","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",121,0,"HARPSICHORD-OBJ-Match","26",13,"worn",400,"While he weighed the jewelry%2C a few customers asked Victor curiously whether Jennifer had ever worn it.","M","o",5.99146454710798
"23019","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",121,0,"HARPSICHORD-OBJ-Match","26",14,"it.",992,"While he weighed the jewelry%2C a few customers asked Victor curiously whether Jennifer had ever worn it.","M","o",6.89972310728487
"23156","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",41,0,"HARPSICHORD-OBJ-Match","6",1,"When",185,"When he got caught stealing%2C all of the fifth-graders promised Dennis quickly that they wouldn't tell Emma.","M","o",5.22035582507832
"23170","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",41,0,"HARPSICHORD-OBJ-Match","6",2,"he",176,"When he got caught stealing%2C all of the fifth-graders promised Dennis quickly that they wouldn't tell Emma.","M","o",5.17048399503815
"23171","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",41,0,"HARPSICHORD-OBJ-Match","6",3,"got caught",1008,"When he got caught stealing%2C all of the fifth-graders promised Dennis quickly that they wouldn't tell Emma.","M","o",6.91572344863131
"23172","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",41,0,"HARPSICHORD-OBJ-Match","6",4,"stealing%2C",306,"When he got caught stealing%2C all of the fifth-graders promised Dennis quickly that they wouldn't tell Emma.","M","o",5.72358510195238
"23173","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",41,0,"HARPSICHORD-OBJ-Match","6",5,"all of the",556,"When he got caught stealing%2C all of the fifth-graders promised Dennis quickly that they wouldn't tell Emma.","M","o",6.32076829425058
"23174","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",41,0,"HARPSICHORD-OBJ-Match","6",6,"fifth-graders",641,"When he got caught stealing%2C all of the fifth-graders promised Dennis quickly that they wouldn't tell Emma.","M","o",6.46302945692067
"23175","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",41,0,"HARPSICHORD-OBJ-Match","6",7,"promised",637,"When he got caught stealing%2C all of the fifth-graders promised Dennis quickly that they wouldn't tell Emma.","M","o",6.45676965557216
"23176","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",41,0,"HARPSICHORD-OBJ-Match","6",8,"Dennis",2546,"When he got caught stealing%2C all of the fifth-graders promised Dennis quickly that they wouldn't tell Emma.","M","o",7.84227877911735
"23177","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",41,0,"HARPSICHORD-OBJ-Match","6",9,"quickly",1003,"When he got caught stealing%2C all of the fifth-graders promised Dennis quickly that they wouldn't tell Emma.","M","o",6.91075078796194
"23178","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",41,0,"HARPSICHORD-OBJ-Match","6",10,"that",345,"When he got caught stealing%2C all of the fifth-graders promised Dennis quickly that they wouldn't tell Emma.","M","o",5.84354441703136
"23179","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",41,0,"HARPSICHORD-OBJ-Match","6",11,"they",317,"When he got caught stealing%2C all of the fifth-graders promised Dennis quickly that they wouldn't tell Emma.","M","o",5.75890177387728
"23180","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",41,0,"HARPSICHORD-OBJ-Match","6",12,"wouldn't",381,"When he got caught stealing%2C all of the fifth-graders promised Dennis quickly that they wouldn't tell Emma.","M","o",5.9427993751267
"23181","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",41,0,"HARPSICHORD-OBJ-Match","6",13,"tell",335,"When he got caught stealing%2C all of the fifth-graders promised Dennis quickly that they wouldn't tell Emma.","M","o",5.81413053182507
"23182","14933e29134ae45dbac1e48feef8a532","EPDashedSentence",41,0,"HARPSICHORD-OBJ-Match","6",14,"Emma.",1699,"When he got caught stealing%2C all of the fifth-graders promised Dennis quickly that they wouldn't tell Emma.","M","o",7.43779512167193
